order_id,date,region,category,product,sales,quantity,discount,profit
1001,2024-01-03,West,Technology,Laptop Pro,1299.99,2,0.1,389.99
1002,2024-01-05,East,Furniture,Office Chair,459.50,4,0.05,91.90
1003,2024-01-07,Central,Office Supplies,Stapler,24.99,10,0.0,9.99
1004,2024-01-09,South,Technology,Wireless Mouse,49.99,6,0.15,12.49
1005,2024-01-11,North,Furniture,Standing Desk,899.00,1,0.0,224.75
1006,2024-01-13,West,Office Supplies,Notebook Pack,18.99,20,0.05,6.84
1007,2024-01-15,East,Technology,Monitor 27in,549.00,3,0.1,109.80
1008,2024-01-17,Central,Furniture,Bookshelf,199.99,2,0.0,59.99
1009,2024-01-19,South,Office Supplies,Pen Set,12.49,15,0.0,5.62
1010,2024-01-21,North,Technology,Mechanical Keyboard,129.99,5,0.1,32.49
1011,2024-01-23,West,Furniture,Ergonomic Chair,689.00,2,0.15,103.35
1012,2024-01-25,East,Office Supplies,Paper Ream,39.99,8,0.0,15.99
1013,2024-01-27,Central,Technology,USB Hub,34.99,12,0.05,10.49
1014,2024-01-29,South,Furniture,Filing Cabinet,319.00,1,0.1,63.80
1015,2024-02-01,North,Office Supplies,Whiteboard,89.99,3,0.0,26.99
1016,2024-02-03,West,Technology,Webcam HD,79.99,7,0.1,19.99
1017,2024-02-05,East,Furniture,Desk Lamp,54.99,9,0.05,16.49
1018,2024-02-07,Central,Office Supplies,Binder Set,22.50,14,0.0,9.00
1019,2024-02-09,South,Technology,SSD 1TB,109.99,4,0.1,27.49
1020,2024-02-11,North,Furniture,Conference Table,1249.00,1,0.05,187.35
1021,2024-02-13,West,Office Supplies,Highlighters,9.99,25,0.0,4.49
1022,2024-02-15,East,Technology,Laptop Stand,45.99,6,0.1,11.49
1023,2024-02-17,Central,Furniture,Lounge Sofa,1099.00,1,0.15,164.85
1024,2024-02-19,South,Office Supplies,Sticky Notes,14.99,18,0.05,5.99
1025,2024-02-21,North,Technology,Smart Speaker,99.99,3,0.1,24.99
1026,2024-02-23,West,Furniture,Wall Shelf,79.99,5,0.0,23.99
1027,2024-02-25,East,Office Supplies,Scissors,7.49,22,0.0,2.99
1028,2024-02-27,Central,Technology,Tablet 10in,399.99,2,0.1,79.99
1029,2024-03-01,South,Furniture,Armchair,499.00,1,0.05,74.85
1030,2024-03-03,North,Office Supplies,Desk Organizer,29.99,7,0.0,11.99
1031,2024-03-05,West,Technology,External HDD,89.99,4,0.1,22.49
1032,2024-03-07,East,Furniture,TV Stand,249.99,2,0.05,49.99
1033,2024-03-09,Central,Office Supplies,Label Maker,59.99,3,0.0,21.59
1034,2024-03-11,South,Technology,Router WiFi6,149.99,2,0.1,37.49
1035,2024-03-13,North,Furniture,Drawer Cabinet,189.99,3,0.05,42.74
1036,2024-03-15,West,Office Supplies,Calculator,24.99,11,0.0,9.99
1037,2024-03-17,East,Technology,Noise Cancelling Headphones,249.99,4,0.15,49.99
1038,2024-03-19,Central,Furniture,Office Sofa,799.00,1,0.1,119.85
1039,2024-03-21,South,Office Supplies,Tape Dispenser,11.99,16,0.0,4.79
1040,2024-03-23,North,Technology,Smartphone Stand,19.99,13,0.05,5.99
1041,2024-03-25,West,Furniture,Corner Desk,649.00,2,0.1,129.80
1042,2024-03-27,East,Office Supplies,Staple Remover,5.99,30,0.0,2.39
1043,2024-03-29,Central,Technology,Portable Charger,39.99,8,0.1,9.99
1044,2024-04-01,South,Furniture,Recliner Chair,879.00,1,0.05,131.85
1045,2024-04-03,North,Office Supplies,Correction Tape,8.49,20,0.0,3.39
1046,2024-04-05,West,Technology,Smart Watch,299.99,3,0.1,74.99
1047,2024-04-07,East,Furniture,Nightstand,159.99,4,0.0,47.99
1048,2024-04-09,Central,Office Supplies,Folders Pack,16.99,12,0.05,6.11
1049,2024-04-11,South,Technology,Graphics Card,589.99,1,0.0,147.49
1050,2024-04-13,North,Furniture,Wardrobe,1099.99,1,0.1,164.99
1051,2024-04-15,West,Office Supplies,Rubber Bands,4.99,35,0.0,1.99
1052,2024-04-17,East,Technology,Mechanical Pencil,14.99,9,0.05,5.24
1053,2024-04-19,Central,Furniture,Bed Frame,699.00,1,0.1,104.85
1054,2024-04-21,South,Office Supplies,Clipboard,12.99,14,0.0,5.19
1055,2024-04-23,North,Technology,Projector,799.99,1,0.1,159.99
1056,2024-04-25,West,Furniture,Side Table,129.99,3,0.05,29.24
1057,2024-04-27,East,Office Supplies,Index Cards,6.99,25,0.0,2.79
1058,2024-04-29,Central,Technology,Docking Station,199.99,2,0.1,49.99
1059,2024-05-01,South,Furniture,Dining Chair,229.99,6,0.05,82.79
1060,2024-05-03,North,Office Supplies,Envelope Pack,13.99,18,0.0,5.59
1061,2024-05-05,West,Technology,VR Headset,499.99,1,0.15,74.99
1062,2024-05-07,East,Furniture,Bookcase,349.99,2,0.0,104.99
1063,2024-05-09,Central,Office Supplies,Printer Paper,44.99,10,0.05,16.19
1064,2024-05-11,South,Technology,Gaming Mouse,69.99,5,0.1,17.49
1065,2024-05-13,North,Furniture,Patio Chair,189.99,4,0.1,45.59
1066,2024-05-15,West,Office Supplies,Staples Box,9.99,28,0.0,3.99
1067,2024-05-17,East,Technology,Bluetooth Speaker,89.99,6,0.1,22.49
1068,2024-05-19,Central,Furniture,Ottoman,249.99,2,0.05,56.24
1069,2024-05-21,South,Office Supplies,Toner Cartridge,79.99,4,0.0,28.79
1070,2024-05-23,North,Technology,Webcam 4K,129.99,3,0.1,32.49
1071,2024-05-25,West,Furniture,Shoe Rack,89.99,5,0.0,26.99
1072,2024-05-27,East,Office Supplies,Marker Set,19.99,16,0.05,7.19
1073,2024-05-29,Central,Technology,NAS Drive,379.99,1,0.1,75.99
1074,2024-05-31,South,Furniture,Coffee Table,399.99,2,0.05,89.99
